text,BIO_anno,class
好像确实不需要了。U盾只有申请信用卡时用了次，不用上网点激活。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
也是中信网申面签吗？哪个地区啊？难道是地区特色？,O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O,2
没开卡，再申请别的卡是不是还算新户,O O B-PRODUCT O O O O O O B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N,2
是，聽說的。交通银行的还是不多的,O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O,2
我们申请了第二批3000取消重新申请卡工作人员上门卡1，建行的就取消了,O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O B-PRODUCT O O B-BANK I-BANK O O O O O,2
欢迎欢迎??我两套房建行的贷款加起来都没有这么多,O O O O O O O O O O O O O O O O O O O O O O O O,2
现金分期最高可以分五万，又不是说每个人都有10万额度卡片，所以按实际情况能分多少就是多少。,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
流水是不是很多,B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
信用卡肯定是审批，提额是贷后,B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O,2
这么敏感吗，这额度就是看看的。你调调试试能不能给你,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
弟流水这么大？,O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,2
首卡要去网点激活吗连储值卡都没的那种,B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2
最近一直游过来游过去。是在吊我吧，浦发,O O O O O O O O O O O O O O O O O B-BANK I-BANK,2
一开始就先金卡普卡开个口子先,O O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O,2
我的只要身份证，去窗口她让你当面拆封信用卡，签几个字，就ok了,O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2
"临时啊,悠着点，小心你的信用卡",O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
平均一张卡17万我嘞个亲娘诶，牛,O O O O B-PRODUCT O O O O O O O O O O B-COMMENTS_ADJ,2
级别不一样，额度自然不一样,O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
注销一个工行信用卡（2万额度）何其难！,B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_ADJ O,0
逾期、小贷、Chao币、网D、套X……总有一样适合你。,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2
你到底提没提？我的浦发的提了,O O O O O O O O O B-BANK I-BANK O O O,2
比如你想要交通银行与京东合作的联名卡，还有他家的最红星期五、周五饭票五折等等，交通银行信用卡还有个额外好处，免息期最长56天。所以我站交通银行。,O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-BANK I-BANK I-BANK I-BANK O,1
我什么都没有，所以我感觉信用卡无望,O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
傻养农行的流水,O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N,2
拿到7级需要5亿。太高了，搞不起,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
我特么进了一大堆有的没的，只申了个鸟白……现在1.2??我能给干到8W么??能过就行了吧。。。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
账单日前还款。降低账单金额，类似于0账单，但是不要把账单做成0，这也是降低负债率的有效方法。,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2
我接到电话半小时后回来，,O O O O O O O O O O O O,2
除了有积分的mcc，还要看你耍的商户在不在不累计积分的列表名单中。,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2
我是预约了。预约后速度很快,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
有长城卡银联单标，申请这个会不会下visa单标？,O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O,2
因为月底的原因才遇到的。有点坑啊,O O O O O O O O O O O O O O B-COMMENTS_ADJ O,0
当时搬了20块砖，主要是因为100万的行驶证有效。,O O O O O O O O O O O O O O O O O O O O O O O O O,2
3天前申请，无征信获批，浦发,O O O O O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK,2
有啊明明显示2次机会??点开却不行，这是为啥啊，好烦,O O O O O O O O O O O O O O O O O O O O O O O O O O,0
曲线了吗，过了说说，几行卡了？,O O O O O O O O O O O O B-PRODUCT O O,2
来中信保诚吧，享受就医绿色通道海外就医，sos全球免费救援100万美金，律师税务师私人安排定制，个性礼遇，保险金信托等信托增值服务...,O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
都要还啊，分期还不是要还的,O O O O O B-PRODUCT I-PRODUCT O O O O O O,2
线下去申，资料带齐，秒批，浦发就是,O O O O O O O O O O O O O B-BANK I-BANK O O,2
真是服了你们了，人家给你宽松了，係却逼着人家给係收紧，你就好过些,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
还能卖了的，咋卖的？？？这都能操作,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
这些信息我能记得，会不会年薪收入和单位工作的年限影响额度,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
理论上不是发卡以来，个人怀疑一年左右，仅供参考,O O O O O O O O O O O O O O O O O O O O O O O,2
你的现在有消息了吗？我等的好焦虑啊,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
我原来3星，信用卡被拒，后来到工行上班，给批了张5w额度的，根本用不了……2000就够了,O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O B-BANK I-BANK O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,0
可信吗？可信我就去了，工行吧,B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-BANK I-BANK O,2
销了，过几年再申吧。养不动你还刚啥，累得慌。,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,0
抽了几次呀？都中奖了么？掌上生活活动还是很多的,O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ O,2
老哥咋要回来手续费的,O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O,2
工行提额最成功且额度提升最大的方法莫过于工行的曲线提额,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-BANK I-BANK O O O B-COMMENTS_N I-COMMENTS_N,1
我是3个月2次过的，开心的很,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
目标:民生，光大，兴业。,O O O B-BANK I-BANK O B-BANK I-BANK O B-BANK I-BANK O,2
别网申了去当地卡部,O B-PRODUCT I-PRODUCT O O O O O O,2
不是建行的！,O O B-BANK I-BANK O O,2
招商银行信用卡动不动就打电话分期，真烦,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
是滴，我情况一样，房贷审批放款了,O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O,2
是不是工商银行的‘瑞鹤千秋’卡片。这个卡我申请也是扣了我50大洋啊。找谁说理啊,O O O B-BANK I-BANK I-BANK I-BANK O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O,2
代发工资就是叼，难怪额度这么高,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2
今天刚买了个u宝,O O O O O O O O,2
这种行应该要本地人才能下，属于地方卡，有特色的,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
我被中信深度套牢,O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
第三种不占的最坑，不全还完几乎不会提，这里不是很多这种帖子,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
我去。审批有这么久？有电审？,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
07009是什么东西，完全搞不懂,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
我提醒一次，打开APP直接为零，别幻想了,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
平安腾讯金：51k,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
民生是越来越辣鸡了。准备注销了,B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O,0
昨天早上找不到申请的紧密度，就打电话给客服说通过了。昨天还担心呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
建议别激活，激活就代表你认可额度了。建议申2卡，如果你行不多另外短期没有申请其它银行的情况下。记得走无卡通道，就是补充完整资料那个。。...,O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
也是最近。额度还很高呢,O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
下了，50k额度,O O O O O O B-COMMENTS_N I-COMMENTS_N,2
小白卡吗？我的10天了还在审核,O O B-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
7号申请还在审核中。,O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
招商的额度不稳定，都不敢用了，以后给了临时额度，也还是不用的好。,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,0
所以不是说网上没出现申请界面它就比别的高端。银行在选择性在推他想推的卡，招行把一张顶级的黑百夫长藏起来了呢，38800的刚性年费哦！,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
我被骗了！本来以为信用证卡办理了，就是退给信用证卡。现在怎么样了？我也开始逾期,O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,0
三倍提啥意思，我下卡半年了一次都没提过,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
这就回到了开头我们小故事里的问题：张努力这个劳动力打磨了 20 年，最后产出价值和 100 万资金一样？张努力人力资本价值=100 万元这个等式成立吗？,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O,2
"0.5%有点高啊,我是0.35%",O O O O O O B-COMMENTS_ADJ O O O O O O O O O,2
兄弟你的额度信贷是只有固定额度还是有其他，我这只有这一个固定额度其他啥也没有，这样是不是黑了啊,O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2
提前还款，有个违约金,O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
有邀请应该是稳的，我预审58k。最终全批了,O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O,2
第三个账单起一直有分期，两三千的分三期，到期了接着分，我的中国风标白，6期账单时候申过精英白，秒拒...,O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O,2
中行老油子申同等级卡都是共享额度，没有曲线一说,B-BANK I-BANK O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
我没写错，你也没看错。我在它行都是十几二十万的额度，利率不过4点几。伤害性不大，侮辱性极强，交行净干这得罪顾客的事。,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O O O O O O O,0
开卡就要收取这笔费用，我这几年开了多少张卡，在有这个app之前，还真没有注意到这一点，我简直要疯了,O B-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O,0
银行准胜吗！,O O O B-COMMENTS_ADJ O O,2
佩服佩服，这个提额速度是可以的,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
app上不是必填，我也没有填，填了额度会高？,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O,2
通白卡是不是每笔交易自动分期啊,O O O O O O O O O O O O B-PRODUCT I-PRODUCT O,2
那缺额度的话就买,O O B-COMMENTS_N I-COMMENTS_N O O O O,2
同在青海，为啥我就是下不了这额度？,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
需要什么条件，复旦在职证件？,O O O O O O O O O O O O O O,2
不是新户，年费好像是1800吧,O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
30号开户成功，至今没动静。去网点办其他业务，找大妈问了一句信用卡，结果被强烈推荐扫码办卡+注销未寄送的卡,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
跟白送一样，羡慕。我的18年上半年的建行房贷，上浮85基点。差一年就差好多,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
确实是改了，大家基本都进入缓冲期了，10月降级。不过那个官方的公告在哪儿看见的？,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,2
目前手头工建农中邮招六行，卡片是,O O O O B-BANK B-BANK B-BANK B-BANK I-BANK O O O O B-PRODUCT O O,2
我18年4月冻的，每半年去一次，每次都是查询告诉我冻结，今天我会去看看，这次去是因为这么久了工商突然发短信邀请我办卡了，我怀疑已经解封了，不然不会发给我...,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O,2
不用申，换卡就行！不然账户会变多的！,O O O O O B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
招商银行信用卡确实比中信银行信用卡好中信银行，又比中国银行信用卡好太多，最垃圾的是中国银行信用卡,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK I-BANK I-BANK O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT,0
泰州银行周五提交的，今天，卡后出来最后四位。不知道有多少,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
额度不算低了,B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,2
不一定有，支付宝有，京东支付有,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O,2
这个你问清楚，按她说的是直接显示已销户，不再显示呆账或者逾期，所以才说不用5年不会影响别的银行。因为正常情况下，呆账处理完，即便你自己销户，征信也显示卡片逾期...,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
没有啊，都看不到额度，我也刚批的卡,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT,2
没什么情况，都是一样的，都是等银行批额度,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
好像要大专以上文凭，有点麻烦哦,O O O O O O O O O O O O O O O,2
什么时候多少钱我用了几次一直没收到,O O O O O O O O O O O O O O O O O,2
农行4.5光大4.8民生6.1,B-BANK I-BANK O O O B-BANK I-BANK O O O B-BANK I-BANK O O O,2
我的工商这几天也不更新了。,O O B-BANK I-BANK O O O O O O O O O,2
可能额度得五万起步，才能申请成功鼎雅。！？我金卡五万，一月份申请鼎雅，成功申批，额度共享,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
额度一万三激活信用币两万直接打电话调平到两万激活备用金一万六,B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
不一样，，每个银行不一样，浦发和招行政策都不一样,O O O O O O O O O O O O O B-BANK I-BANK O B-BANK I-BANK O O O O O O,2
恭喜下卡坐等额度,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N,1
为啥我也不知道，09年办的交行卡不到一万，从来没分过，现在额度15万。,O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
不容易，一年时间，从5000养到2万，这是三提了……,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O,2
半步封神的额度，离80K的大山也不远了，弄的可以,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2
闪电贷呢,B-PRODUCT I-PRODUCT I-PRODUCT O,2
是不是做好个性分期还款后，然后利息罚息都还存在？哪天本金还清了，利息罚息才能全部免除,O O O O B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
楼主玩币了吧？突然32800的收入。开心吧,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
哈哈，咱就看看，先用着最下边的鸟白！,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O,2
